production_date;price;mileage;engine_capacity;fuel_type
1976;27900;189068;1573;Benzyna
1978;63000;129000;1766;Benzyna
1979;19999;209509;1991;Benzyna
1980;39900;122000;1991;Benzyna
1981;32900;85000;1573;Benzyna
1981;16900;179761;1766;Benzyna
1982;119900;129500;2316;Benzyna
1982;12999;199358;1991;Benzyna
1983;44000;110000;1573;Benzyna
1984;52900;118000;1991;Benzyna
1984;10999;327000;1766;Benzyna
1984;21900;135000;1766;Benzyna
1985;49700;190000;2693;Benzyna
1986;49900;26000;2693;Benzyna
1986;59900;155000;1991;Benzyna
1986;74900;170000;1766;Benzyna
1986;18000;190000;2693;Benzyna
1986;42500;110000;1991;Benzyna
1986;39000;320000;2494;Benzyna
1987;65000;131267;1766;Benzyna
1987;43500;134970;1795;Benzyna
1987;27900;254111;1991;Benzyna
1987;33333;284744;2494;Benzyna
1988;75000;173200;2494;Benzyna
1988;24900;156000;1766;Benzyna
1988;26900;193000;1795;Benzyna
1988;39800;164000;2494;Benzyna
1988;99000;235000;2494;Benzyna
1989;35000;200000;2494;Benzyna
1989;49900;150242;1990;Benzyna
1989;67000;134000;1989;Benzyna
1989;27000;202000;1596;Benzyna
1989;78000;170000;1990;Benzyna
1990;129000;68000;1990;Benzyna
1990;7500;290000;1795;Benzyna+LPG
1990;19500;199000;1596;Benzyna
1990;55000;229826;1596;Benzyna
1990;8999;200000;2494;Benzyna
1990;50000;113000;1596;Benzyna
1990;55000;200000;2494;Benzyna
1990;84000;169000;1990;Benzyna
1990;74000;176000;1990;Benzyna
1991;17900;183924;2494;Benzyna
1991;16490;118254;1796;Benzyna
1991;11800;139000;1596;Benzyna
1991;8500;140000;1796;Benzyna
1991;35900;235000;2494;Benzyna
1991;10000;160500;1795;Benzyna
1991;89790;156000;1796;Benzyna
1991;84870;168000;2494;Benzyna
1991;35900;250000;1796;Benzyna
1992;20900;245000;2494;Benzyna
1992;6900;160000;1991;Benzyna
1993;39900;58000;2494;Benzyna
1993;11000;111000;1795;Benzyna
1993;15000;150000;1990;Benzyna
1993;6000;308000;1596;Benzyna+LPG
1993;15900;221000;1796;Benzyna
1993;17900;220000;1795;Benzyna
1993;13900;176000;1991;Benzyna
1993;19900;164000;1990;Benzyna
1994;12900;139500;1796;Benzyna
1994;26000;214000;1991;Benzyna
1994;21000;180000;1991;Benzyna
1994;23000;242300;1796;Benzyna
1994;16400;249000;1991;Benzyna
1994;28500;237777;2494;Benzyna
1994;25900;225000;1796;Benzyna
1994;9700;250000;2494;Benzyna
1994;47000;250000;2494;Benzyna
1994;25000;293863;2494;Benzyna+LPG
1995;52900;198000;2793;Benzyna
1995;14999;78650;1596;Benzyna
1995;72000;208;2793;Benzyna
1995;23900;167000;1991;Benzyna
1995;18500;275000;1990;Benzyna
1995;15400;188000;1991;Benzyna
1995;28500;210000;2793;Benzyna
1995;5900;273555;1796;Benzyna
1995;22500;260000;1991;Benzyna
1995;23600;328000;2793;Benzyna
1995;14900;112331;1596;Benzyna
1995;29000;275684;1795;Benzyna
1995;9000;200000;1596;Benzyna
1995;9900;300000;1796;Benzyna
1996;39900;51000;2494;Benzyna
