production_date;price;mileage;engine_capacity;fuel_type
2011;47900;257000;1995;Diesel
2004;29950;84509;2171;Benzyna
2012;63900;123000;1997;Benzyna
2018;139900;164536;1998;Benzyna
2021;272000;16435;1995;Diesel
2009;25499;238500;1995;Diesel
2019;169900;39800;1998;Benzyna
2018;209900;95000;2998;Benzyna
2004;25900;361795;2993;Diesel
2018;129500;107300;2000;Diesel
2002;12500;229900;2497;Diesel
2013;73000;188000;1995;Diesel
2015;123000;166850;1995;Diesel
2019;178000;68855;1998;Benzyna
2021;219900;28222;1998;Benzyna
2007;32500;239000;2993;Diesel
2022;295600;4000;1998;Benzyna
2014;69900;190000;1995;Diesel
2009;27900;195000;2497;Benzyna
2019;239900;98860;2993;Diesel
2018;189900;77500;1995;Benzyna
2018;167000;97156;1998;Benzyna
2009;23000;320000;1995;Diesel
2000;16300;453765;2494;Benzyna+LPG
2022;303700;6;1995;Diesel
2015;79990;117000;1997;Benzyna
2010;59900;242000;2993;Diesel
2007;28900;323000;2993;Diesel
2019;159000;61000;1998;Hybryda
2019;209900;79960;2993;Diesel
2017;149900;71200;1995;Diesel
2019;199900;91150;2993;Diesel
2005;24000;355000;2993;Diesel
2018;179900;94888;2993;Diesel
2015;94900;139850;1995;Diesel
2020;162900;55900;1995;Diesel
2020;270000;40000;1995;Diesel
2003;34900;226000;2979;Benzyna+LPG
2002;4999;432000;2497;Diesel
2016;79900;239751;1995;Diesel
2019;178350;43000;1995;Diesel
2018;165900;114753;1995;Diesel
2007;25900;260000;1995;Diesel
2019;189900;69750;1995;Diesel
2013;57900;258914;1997;Benzyna
2013;77000;289000;1995;Diesel
2017;73900;122654;1998;Benzyna
1997;4650;394500;1991;Benzyna+LPG
2013;71000;306000;2993;Diesel
2017;134900;114502;1995;Diesel
2017;149900;128000;1995;Diesel
2013;61000;279300;1995;Diesel
2022;261500;5;1995;Diesel
2012;100860;227000;2993;Diesel
2010;61500;228743;2993;Diesel
2004;46900;168000;4398;Benzyna
2008;32600;287112;2993;Diesel
2015;99900;169000;1995;Diesel
2012;72200;270000;1995;Diesel
2000;17900;290000;2979;Benzyna
2010;87000;194000;2979;Benzyna
2008;35000;334000;2993;Diesel
2019;197999;96778;1995;Diesel
2011;39900;275800;2993;Diesel
2012;69000;205000;1995;Diesel
2006;27500;352000;2497;Diesel
2014;79900;135000;1995;Diesel
2015;79500;239000;1995;Diesel
2011;65000;266000;2993;Diesel
2016;101000;120000;1995;Diesel
2018;109999;143000;1995;Diesel
2018;128000;166200;1995;Diesel
2019;195000;77000;2998;Benzyna
2017;169900;51690;1998;Benzyna
2005;18999;350000;2497;Diesel
2012;54900;181000;1995;Diesel
2014;116850;168000;2993;Diesel
2015;89000;90000;2979;Benzyna
2013;54200;200500;1995;Diesel
2022;445000;6;2993;Diesel
2015;53800;272000;1995;Diesel
2007;25900;256800;1995;Diesel
2018;142000;50000;1995;Diesel
2017;126000;136000;1995;Diesel
2022;210000;2;1995;Diesel
2012;61900;277000;1995;Diesel
2013;82900;151800;1995;Diesel
2019;169900;72000;1995;Diesel
2016;123000;141000;1995;Diesel
2004;32900;223000;2979;Benzyna
2007;33900;325000;2993;Diesel
2004;17300;295300;2171;Benzyna
2013;83000;194635;1995;Diesel
2012;69900;169400;1995;Diesel
2007;23900;319000;1995;Diesel
2006;38600;393420;2993;Diesel
2012;86000;206000;2993;Diesel
2010;33500;237000;2993;Diesel
2020;229900;48000;1995;Diesel
2017;135900;172000;1995;Diesel
2018;145900;102000;1995;Diesel
2022;286400;517;1995;Diesel
2006;17900;232000;2993;Diesel
2022;256500;5;1995;Diesel
2012;42500;327282;1995;Diesel
2022;279000;50;1995;Diesel
2017;125900;170000;1995;Diesel
2021;209900;28860;1995;Diesel
2021;204900;15320;1998;Benzyna
2004;16500;187000;2993;Diesel
2005;29500;141000;2497;Diesel
2020;189900;47720;1998;Benzyna
2019;133900;144800;1995;Diesel
2016;80900;188300;1995;Diesel
2019;278999;84000;2993;Diesel
2018;198000;168000;2993;Diesel
2020;227550;35000;1998;Benzyna
2012;48900;243000;1995;Diesel
2018;139000;141469;1998;Benzyna
2018;137900;100000;1995;Diesel
2013;97699;200000;2993;Diesel
2017;158900;131000;1995;Diesel
2005;20900;284900;2497;Diesel
2021;219900;27747;1998;Benzyna
2019;349000;97000;2993;Diesel
2022;291200;5;1998;Benzyna
2014;86000;154343;2979;Benzyna
2021;269900;13425;1995;Diesel
2022;276100;5;1995;Diesel
2011;48999;236800;1995;Diesel
2014;70999;231000;1995;Diesel
1999;8900;292100;1991;Benzyna+LPG
2022;289900;18580;1995;Diesel
2017;184900;74000;1995;Diesel
2012;71900;252000;2993;Diesel
2022;263100;1;1995;Diesel
2020;169990;170000;1995;Diesel
2013;74000;138200;1995;Diesel
2022;289000;1;1995;Diesel
2010;44900;193000;1995;Diesel
2006;8000;270000;2497;Diesel
2019;265900;84750;2993;Diesel
2007;35900;246000;2993;Diesel
2021;379900;26700;2993;Diesel
2012;43800;304000;1995;Diesel
2018;309000;49832;2993;Diesel
2018;115990;44800;2998;Benzyna
2016;86300;161000;1995;Diesel
2015;119000;171000;2993;Diesel
2022;264300;5;1995;Diesel
2022;259100;5;1995;Diesel
2019;149900;51499;1998;Benzyna
2005;25900;358880;2993;Diesel
1996;15700;194231;1991;Benzyna
2015;79900;137500;1997;Benzyna
2020;215000;131000;2993;Diesel
2016;105000;210000;1995;Diesel
2022;264300;5;1995;Diesel
2011;52890;276500;2993;Diesel
2022;265600;5;1995;Diesel
2010;44900;308000;1995;Diesel
2001;35555;167000;2494;Benzyna+LPG
2010;49000;239856;2996;Benzyna
2011;74000;180000;2993;Diesel
2017;75900;405000;1998;Benzyna
2017;305000;121500;4395;Benzyna
2012;59900;247000;1997;Benzyna
2004;23900;297000;2993;Diesel
2013;79900;220000;2993;Diesel
2007;29900;295117;2993;Diesel
2007;35000;230000;2979;Benzyna
2022;399000;5;2993;Diesel
2013;67900;200000;1995;Diesel
2005;25000;340000;2996;Benzyna+LPG
2022;288800;5;1995;Diesel
2018;156000;97000;1995;Diesel
2017;157900;112450;1995;Diesel
2017;139000;102500;1998;Benzyna
2021;285000;21000;1998;Benzyna
2019;147900;159900;2000;Diesel
2020;229900;32062;1998;Benzyna
2009;34500;260000;1995;Diesel
2005;27900;229000;2497;Benzyna
2022;361900;5;1998;Benzyna
2017;141450;207000;2993;Diesel
2017;137000;136000;1998;Hybryda
2019;279900;79800;2998;Benzyna
2017;139900;185000;1995;Diesel
2016;79800;186000;1995;Diesel
2017;196800;180000;2993;Diesel
2022;277100;5;1998;Benzyna
2021;244900;9000;1995;Diesel
2004;19900;260000;2993;Diesel
2018;154900;77000;2998;Benzyna
2007;29900;222076;2497;Benzyna
2021;330000;30900;2993;Diesel
1999;13900;399456;2926;Diesel
2013;93000;289000;1995;Diesel
2004;25200;319500;2993;Diesel
2018;149500;129700;1995;Diesel
2013;77700;239000;1995;Diesel
2010;69999;240000;2993;Diesel
2008;36900;169000;2497;Benzyna
2013;75700;226000;2993;Diesel
2015;84900;139000;1995;Diesel
2022;318400;5;1995;Diesel
2021;325200;5000;1998;Benzyna
2018;147000;21000;2998;Benzyna
2018;145800;131066;1995;Diesel
2015;114000;157000;1995;Diesel
2020;166900;130000;1995;Diesel
