production_date;price;mileage;engine_capacity;fuel_type
1987;9900;475000;2299;Benzyna+LPG
1987;11900;235000;2299;Benzyna
1987;10200;120000;2299;Benzyna
1989;14500;305983;2299;Benzyna
1991;16900;300000;1996;Benzyna+LPG
1992;22000;165000;2299;Benzyna
1993;28800;179000;1998;Benzyna
1993;14900;397100;2497;Diesel
1993;14700;234000;2799;Benzyna
1993;40000;211000;1998;Benzyna
1993;10900;275000;2199;Benzyna
1993;8800;271500;2497;Diesel
1994;98000;265000;1998;Benzyna
1994;56900;135676;4196;Benzyna
1994;59900;234110;2199;Benzyna
1994;100000;137000;3199;Benzyna
1994;15000;396000;2996;Diesel
1994;49000;250000;4196;Benzyna
1994;98999;75438;2799;Benzyna
1994;30000;370000;2799;Benzyna
1994;59900;247700;1998;Benzyna
1994;16900;453000;2996;Diesel
1994;24900;258000;1997;Diesel
1994;52900;127399;4196;Benzyna
1994;24900;169000;1998;Benzyna
1994;49900;202000;2799;Benzyna
1994;24900;444300;2497;Diesel
1994;55000;330000;1998;Benzyna
1994;14750;268000;2199;Benzyna+LPG
1995;21700;135000;1998;Benzyna
1995;35900;74602;3199;Benzyna
1995;22000;270000;2799;Benzyna
1995;88900;94589;3199;Benzyna
1995;28900;296000;2497;Diesel
1995;21700;438249;2799;Benzyna
1995;23900;208700;2960;Benzyna
1995;23900;216751;2497;Diesel
1995;27800;150000;1998;Benzyna
1995;89000;295000;3199;Benzyna
1996;3600;341714;2295;Benzyna+LPG
1996;31900;321385;2497;Diesel
1996;39900;111000;3199;Benzyna
1996;32900;215000;3199;Benzyna+LPG
1996;18900;306000;2199;Benzyna
1996;13500;340000;2996;Diesel
1996;6400;480000;2155;Diesel
1996;91500;221695;2199;Benzyna
1996;3990;202000;1998;Benzyna+LPG
1996;39000;123000;2874;Diesel
1996;5999;214000;1998;Benzyna
1996;22500;211100;4196;Benzyna
1996;25000;150000;2199;Benzyna
1996;39900;104000;3199;Benzyna
1997;44900;186000;2199;Benzyna
1997;5899;254000;1998;Benzyna
1997;16900;280000;2799;Benzyna
1997;45900;89500;3199;Benzyna
1997;49900;113000;4196;Benzyna
1997;9000;157000;2295;Benzyna
1997;14900;253000;2900;Diesel
1997;25000;221500;2799;Benzyna
1997;23500;355000;3199;Benzyna+LPG
1997;10750;284000;2996;Diesel
1997;12800;126000;1998;Benzyna
1997;16900;310000;2799;Benzyna
1998;24900;96000;2397;Benzyna
1998;14000;447540;2996;Diesel
1998;14700;442762;2497;Diesel
1998;6900;263000;2397;Benzyna
1998;6400;260000;2996;Diesel
1998;12900;188000;1998;Benzyna+LPG
