production_date;price;mileage;engine_capacity;fuel_type
1963;9999;220000;2200;Benzyna
1968;59999;96351;2746;Benzyna
1968;10900;12000;2000;Diesel
1971;138000;260000;3500;Benzyna
1971;52900;100000;2800;Benzyna
1971;25700;40850;2500;Benzyna
1973;53900;180000;2717;Benzyna
1975;60000;150000;2717;Benzyna
1976;16500;169000;2800;Benzyna
1977;39999;205000;2800;Benzyna
1977;170970;58800;4520;Benzyna
1977;52000;148000;2717;Benzyna
1977;28000;199852;2800;Benzyna
1980;54900;153000;4520;Benzyna
1980;12900;192000;3818;Benzyna
1981;29900;358560;4973;Benzyna
1982;62500;275000;4973;Benzyna
1982;24900;98000;2800;Benzyna
1983;34900;89894;3800;Benzyna
1983;47000;139000;4973;Benzyna
1984;26800;202000;4973;Benzyna
1984;40500;214000;4973;Benzyna
1984;45000;194815;3800;Benzyna
1985;99000;73901;4973;Benzyna
1985;119000;76665;4973;Benzyna
1985;63000;137800;3800;Benzyna
1985;89000;248100;4973;Benzyna
1985;14900;310000;4200;Benzyna
1985;71500;560000;5600;Benzyna
1985;29000;180279;3000;Diesel
1985;39000;116650;2998;Diesel
1986;44800;230000;2996;Diesel
1986;49900;201000;4196;Benzyna
1986;56900;417000;4196;Benzyna
1986;7900;300000;3199;Benzyna
1986;48000;253000;4973;Benzyna
1986;122000;228670;5991;Benzyna
1986;59500;188000;4200;Benzyna
1986;30000;336000;4973;Benzyna
1986;30900;122000;5547;Benzyna
1986;18900;195800;3199;Benzyna
1986;42000;124000;4196;Benzyna
1987;89900;140038;4973;Benzyna
1987;35900;168000;2548;Benzyna
1987;34000;90000;3000;Diesel
1987;30900;232000;5547;Benzyna
1988;124900;87000;5547;Benzyna
1988;29900;305000;3800;Benzyna
1988;69000;280000;4973;Benzyna
1988;21900;180000;2962;Benzyna
1988;49900;270000;5547;Benzyna
1988;44900;275000;2962;Benzyna
1988;22900;223000;2548;Benzyna
1989;26000;184000;4196;Benzyna
1989;59900;144500;4973;Benzyna
1989;19900;419000;2962;Benzyna
1989;38000;220000;2960;Benzyna
1989;129900;142000;5547;Benzyna
1989;130000;91188;5547;Benzyna
1989;159126;113500;5547;Benzyna
1990;33700;221787;2600;Benzyna
1990;39999;270000;4200;Benzyna
1990;49900;271028;5547;Benzyna
1990;79000;217900;4973;Benzyna
1990;33900;210000;3498;Diesel
1990;39900;283000;3449;Diesel
1990;59900;109000;5547;Benzyna
1990;64900;124486;5547;Benzyna
1990;34000;358000;4200;Benzyna
1990;42500;162000;2799;Benzyna
1991;42500;184000;5991;Benzyna
1991;60000;217000;4971;Benzyna
1991;53700;204000;3199;Benzyna
1991;189999;141200;5544;Benzyna
1991;39900;283000;4196;Benzyna
1991;19999;260000;3199;Benzyna
1991;34900;192000;2799;Benzyna
1991;29999;224500;4973;Benzyna
1991;12999;400000;3199;Benzyna+LPG
1991;100000;393500;4973;Benzyna
1991;35000;100000;4973;Benzyna
1992;25900;223000;4973;Benzyna+LPG
1992;24900;259000;4196;Benzyna
1992;36600;161490;4973;Benzyna
1992;24900;333000;4196;Benzyna
1992;32000;217000;3199;Benzyna
1992;24900;276000;3199;Benzyna
1992;45900;167000;3199;Benzyna
1992;59900;255000;4973;Benzyna
1992;8990;369000;4196;Benzyna+LPG
1992;34900;223000;4973;Benzyna
1992;57500;240000;4196;Benzyna
1992;27500;271000;4973;Benzyna
1993;42000;337000;4973;Benzyna
1993;67000;34000;4196;Benzyna
1993;139000;46200;4973;Benzyna
1993;47000;350120;4973;Benzyna
1993;47900;216089;4973;Benzyna
1993;46125;74000;3199;Benzyna
1993;33000;294485;3449;Diesel
1993;16500;327431;3449;Diesel
1993;35000;298538;3449;Diesel
1993;54900;195414;5991;Benzyna
1994;42800;264096;4196;Benzyna
1994;89800;129000;4966;Benzyna
1994;65000;260000;4196;Benzyna
1994;69900;157000;3199;Benzyna
1994;25999;500000;5991;Benzyna
1994;88900;218776;5987;Benzyna
1994;32500;260000;4973;Benzyna+LPG
1995;109000;97000;4973;Benzyna
1995;73500;157620;5987;Benzyna
1995;15900;320000;2799;Benzyna+LPG
1995;27900;295000;2799;Benzyna+LPG
1995;49000;250150;4973;Benzyna+LPG
1995;39000;250000;3199;Benzyna
1995;33900;252000;4973;Benzyna
1995;54900;308300;5987;Benzyna
1996;39900;475000;4196;Benzyna
1996;85000;139980;5987;Benzyna
1996;79900;58830;3199;Benzyna
1996;179000;86000;5987;Benzyna
1996;99950;199800;4973;Benzyna
1996;26000;373786;2996;Diesel
1997;169740;160000;5987;Benzyna
1997;49000;346336;2996;Diesel
1997;99000;262000;5987;Benzyna
1997;79950;174500;4196;Benzyna
1997;99000;70284;5987;Benzyna
1997;169500;124338;5987;Benzyna
1997;29900;137000;4196;Benzyna
1998;12999;380000;3199;Benzyna+LPG
1998;9999;480000;4966;Benzyna+LPG
1998;144999;108232;5987;Benzyna
1999;10900;360000;4966;Benzyna+LPG
1999;46899;94262;4966;Benzyna
1999;14900;300000;4266;Benzyna+LPG
1999;10900;262107;3199;Benzyna
1999;12900;281000;3199;Benzyna
1999;129000;104500;5729;Benzyna
1999;17900;226080;3199;Benzyna
1999;13000;289000;2799;Benzyna+LPG
1999;47900;105000;4966;Benzyna
1999;19900;261000;4966;Benzyna
2000;95940;35000;5786;Benzyna
2000;63000;86073;4966;Benzyna
2000;18800;322000;3199;Benzyna
2000;56900;49160;4966;Benzyna
2000;50900;121000;4966;Benzyna
2000;15900;361000;4966;Benzyna
2000;19999;400000;4966;Benzyna+LPG
2000;17500;229010;3199;Benzyna
2000;11900;299402;3199;Benzyna+LPG
2000;8900;322514;3222;Diesel
2000;14900;340000;3222;Diesel
2000;16999;252000;4966;Benzyna
2000;40000;200000;5786;Benzyna
2000;62900;113500;5786;Benzyna
2001;94900;64000;5786;Benzyna
2001;26900;127000;3199;Benzyna
2001;19900;162130;3199;Benzyna
2001;19900;193000;4966;Benzyna
2001;49900;163291;5439;Benzyna
2001;28900;131000;3199;Benzyna
2001;89900;119000;5786;Benzyna
2001;17900;230000;3222;Diesel
2001;33000;135900;4266;Benzyna
2001;9999;322459;3222;Diesel
2001;13500;222000;3199;Benzyna
2001;11900;295000;4966;Benzyna+LPG
2001;31900;238000;4966;Benzyna
2001;10900;310000;3222;Diesel
2001;15900;488000;4966;Benzyna+LPG
2001;8900;312150;3200;Benzyna
2001;13900;355000;3222;Diesel
2001;46200;276800;5439;Benzyna
2001;10000;272000;3222;Diesel
2001;9000;235000;3996;Diesel
2002;23900;340000;4266;Benzyna+LPG
2002;38900;290000;4966;Benzyna
2002;17300;269000;3222;Diesel
2002;26800;190000;3222;Diesel
2002;51700;113000;3724;Benzyna
2002;49900;70832;3724;Benzyna
2002;18990;229500;4966;Benzyna
2002;9500;270000;3222;Diesel
2002;29900;206000;3222;Diesel
2002;10890;308000;3222;Diesel
2002;9900;335274;3222;Diesel
2002;49500;285000;4966;Benzyna
2002;4300;333022;3199;Benzyna+LPG
2003;65000;201471;5513;Benzyna
2003;13500;355085;3997;Diesel
2003;55900;81000;4966;Benzyna
2003;99900;35000;4266;Benzyna
2003;23700;255000;4266;Benzyna+LPG
2003;52000;190000;5500;Benzyna
2003;107000;59900;4966;Benzyna+LPG
2003;32000;215000;4966;Benzyna
2003;21990;171720;3996;Diesel
2003;11000;365051;3997;Diesel
2003;64900;50285;4266;Benzyna
2003;44900;133900;4966;Benzyna
2003;69900;216000;5439;Benzyna
2003;25900;280000;3997;Diesel
2003;99999;99999;5439;Benzyna
2003;13500;389000;3222;Diesel
2003;16900;328000;3222;Diesel
2003;59000;205000;5439;Benzyna
2003;21500;325000;3222;Diesel
2003;6500;368000;3222;Diesel
2003;33900;237000;4266;Benzyna
2004;15500;243000;3724;Benzyna
2004;27900;244000;2987;Diesel
2004;64900;85000;4966;Benzyna
2004;58900;78615;4966;Benzyna
2004;208000;18225;5439;Benzyna
2004;69900;41534;4966;Benzyna
2004;58900;298138;4966;Benzyna
2004;28900;285600;3222;Diesel
2004;31500;192000;3222;Diesel
2004;56900;78190;4966;Benzyna
2004;34440;400000;4966;Benzyna
2004;15000;110000;3222;Diesel
2004;22000;413000;3222;Diesel
2004;16000;332000;3000;Diesel
2004;39799;129947;3724;Benzyna
2004;33825;297000;3222;Diesel
2005;69000;281000;5439;Benzyna
2005;119000;57000;5461;Benzyna
2005;65900;93130;3498;Benzyna
2005;111900;105000;5461;Benzyna
2005;89900;126514;5461;Benzyna
2005;129900;46267;5461;Benzyna
2005;41900;213000;4966;Benzyna
2005;38900;240000;3498;Benzyna
2005;89999;77527;5461;Benzyna
2005;51900;318706;5461;Benzyna
2005;13900;362841;3724;Benzyna
2005;93900;58000;5461;Benzyna
2005;76900;91150;5461;Benzyna
2005;49900;325520;3498;Benzyna+LPG
2005;26999;310477;4266;Benzyna
2005;57900;249000;3498;Benzyna+LPG
2005;53900;198000;3498;Benzyna
2005;37400;353200;3498;Benzyna
2005;62999;105000;3498;Benzyna
2005;159000;45142;5461;Benzyna
2005;60500;300000;5461;Benzyna
2005;23000;259850;3222;Diesel
2005;20900;270000;3222;Diesel
2005;32900;273000;3222;Diesel
2005;55000;256000;5439;Benzyna
2005;95000;51800;5461;Benzyna
2005;98500;54100;5461;Benzyna
2006;49000;299000;2987;Diesel
2006;54900;335000;5461;Benzyna+LPG
2006;127900;49500;5461;Benzyna
2006;70900;282000;2987;Diesel
2006;115000;40500;5461;Benzyna
2006;49900;306000;5461;Benzyna
2006;44000;305000;2987;Diesel
2006;46900;268000;3498;Benzyna+LPG
2006;55900;184000;3498;Benzyna
2006;41000;351630;2987;Diesel
2006;45000;255053;5461;Benzyna
2006;36900;328000;2987;Diesel
2006;55900;220000;5500;Benzyna
2006;119900;30340;5461;Benzyna
2006;79900;37800;3498;Benzyna
2006;54999;212671;3498;Benzyna
2006;40000;231000;5461;Benzyna
2006;36000;334500;2987;Diesel
2006;53900;281210;3498;Benzyna+LPG
2006;42900;321200;2987;Diesel
2006;81500;71679;3498;Benzyna
2006;34900;359700;2987;Diesel
2006;47000;353500;3498;Benzyna+LPG
2006;111499;101440;5513;Benzyna
2006;94900;85600;5461;Benzyna
2006;38999;353000;2987;Diesel
2006;39900;338882;2987;Diesel
2006;36700;234000;5461;Benzyna
2006;59900;185000;3500;Benzyna
2006;66000;302448;5461;Benzyna+LPG
2006;39900;296532;2987;Diesel
2006;56900;199000;5461;Benzyna
2006;113900;107000;5462;Benzyna
2006;103000;254000;5980;Benzyna
2006;215000;155772;5980;Benzyna
2006;44000;337000;2987;Diesel
2006;35900;425294;2987;Diesel
2006;41900;303000;3498;Benzyna+LPG
2006;49900;319119;2987;Diesel
2006;69000;242000;2987;Diesel
2006;24999;276126;5461;Benzyna+LPG
2006;45000;478630;2987;Diesel
2006;84000;125266;5461;Benzyna
2006;145000;142000;5980;Benzyna
2006;85000;416000;5461;Benzyna+LPG
2006;109900;39000;5461;Benzyna
2006;42900;250000;2987;Diesel
2006;49900;161000;3498;Benzyna
2007;75000;264000;2987;Diesel
2007;64900;254000;5461;Benzyna
2007;49900;212114;3996;Diesel
2007;75500;182000;5461;Benzyna+LPG
2007;79900;156000;5461;Benzyna
2007;147598;241077;6208;Benzyna
2007;34900;279123;2987;Diesel
2007;59999;185600;5461;Benzyna+LPG
2007;59900;201355;4663;Benzyna
2007;99900;185453;6208;Benzyna
2007;147900;49800;5461;Benzyna
2007;36900;303000;3996;Diesel
2007;49500;367700;3996;Diesel
2007;59500;112500;5514;Benzyna
2007;44000;220000;2987;Diesel
2007;56900;339225;5461;Benzyna+LPG
2007;60999;334256;3996;Diesel
2007;97000;195500;6208;Benzyna+LPG
2007;45500;340000;2987;Diesel
2007;49900;231963;3997;Diesel
2007;145000;72000;5513;Benzyna
2007;42000;350000;2987;Diesel
2007;47000;200000;5461;Benzyna
2007;189000;152000;5980;Benzyna
2007;54900;262400;2987;Diesel
2007;22999;555000;2987;Diesel
2007;14000;284000;2987;Diesel
2007;124900;100324;6208;Benzyna
2007;56900;350000;5461;Benzyna
2007;57900;340000;2987;Diesel
2007;47900;330000;2987;Diesel
2007;92000;154145;5461;Benzyna
2007;285900;8055;6208;Benzyna
2007;60500;103358;5461;Benzyna
2007;69000;297000;5461;Benzyna
2007;71900;199000;5461;Benzyna
2007;56500;322000;4664;Benzyna+LPG
2007;21999;370000;2987;Diesel
2007;99900;102000;5461;Benzyna
2007;39900;399000;2987;Diesel
2007;87000;74000;5461;Benzyna
2007;135300;80000;6208;Benzyna+LPG
2007;54999;162729;5461;Benzyna
2007;47000;401000;2987;Diesel
2007;41800;371000;2987;Diesel
2007;285900;7144;6208;Benzyna
2008;49000;364000;2987;Diesel
2008;45000;210000;2987;Diesel
2008;49900;310000;2987;Diesel
2008;63500;230000;2987;Diesel
2008;59000;258800;2987;Diesel
2008;41900;298000;3000;Diesel
2008;242000;49000;5980;Benzyna
2008;59900;345000;2987;Diesel
2008;43800;261000;3000;Diesel
2008;79500;162000;5461;Benzyna+LPG
2008;82000;210000;5461;Benzyna
2008;36900;336123;2987;Diesel
2008;108000;125000;6208;Benzyna
2008;98000;201452;2987;Diesel
2008;81900;114206;3498;Benzyna
2008;55700;299671;2987;Diesel
2008;39990;370700;2987;Diesel
2008;52999;289000;2987;Diesel
2008;109000;148000;6208;Benzyna
2008;105900;167000;6208;Benzyna
2008;51999;327000;2987;Diesel
2008;66900;229000;2987;Diesel
2008;104000;240000;6208;Benzyna
2008;96000;229000;6208;Benzyna
2008;54999;240000;2987;Diesel
2008;58000;248000;2987;Diesel
2008;100000;180000;6208;Benzyna
2008;99900;179000;6208;Benzyna
2008;84500;107000;5461;Benzyna+LPG
2008;56500;266000;2987;Diesel
2008;68950;252500;5461;Benzyna+LPG
2008;43000;379000;2987;Diesel
2008;89300;37290;3498;Benzyna
2008;99900;170000;6208;Benzyna
2008;56200;299999;2987;Diesel
2008;36950;182507;5461;Benzyna
2008;99999;83000;6208;Benzyna
2008;36800;216000;5461;Benzyna
2008;119000;175000;6208;Benzyna
2008;55900;315000;2987;Diesel
2008;35500;429000;2987;Diesel
2008;48900;295000;2987;Diesel
2009;77900;215000;2987;Diesel
2009;71900;195811;2987;Diesel
2009;78000;230000;3996;Diesel
2009;129000;77500;3498;Benzyna
2009;79999;290000;5461;Benzyna
2009;72000;368000;2987;Diesel
2009;59900;157000;5461;Benzyna
2009;49900;264000;2987;Diesel
2009;95500;195000;6208;Benzyna+LPG
2009;55000;260000;2987;Diesel
2009;59900;468500;2987;Diesel
2009;55000;278000;2987;Diesel
2009;62500;346000;2987;Diesel
2009;57900;243000;2987;Diesel
2009;125460;136000;5461;Benzyna
2009;73800;297740;2987;Diesel
2009;34900;399871;2987;Diesel
2009;79000;160332;2987;Diesel
2009;65500;281000;2987;Diesel
2009;76900;229000;5461;Benzyna
2009;69800;230000;2987;Diesel
2009;65900;270000;2987;Diesel
2009;89900;309124;2987;Diesel
2009;95000;110000;2987;Diesel
2009;79000;256000;2987;Diesel
2009;26999;311000;2987;Diesel
2009;52700;210000;2987;Diesel
2010;112000;90000;6208;Benzyna
2010;89000;121000;3498;Hybryda
2010;64000;252000;2987;Diesel
2010;93000;211577;2987;Diesel
2010;92000;249000;3498;Benzyna+LPG
2010;97700;180000;5461;Benzyna
2010;79500;220000;3498;Hybryda
2010;199900;73518;6208;Benzyna
2010;104999;226000;6208;Benzyna
2010;134900;182100;5513;Benzyna
2010;84999;180000;2987;Diesel
2010;69800;203206;2987;Diesel
2010;139000;101500;5461;Benzyna
2010;114900;147852;5461;Benzyna
2010;72800;220000;2987;Diesel
2010;44200;154789;5461;Benzyna
2010;85000;160000;4663;Benzyna
2010;123000;267000;5461;Benzyna
2010;82900;236837;2987;Diesel
2010;59900;154788;5513;Benzyna
2010;249900;197000;5980;Benzyna
2010;124900;147852;5461;Benzyna
2010;56900;428383;3498;Benzyna
2010;49000;100000;5461;Benzyna
2010;129000;100000;6208;Benzyna
2010;89999;139000;6208;Benzyna
2010;85900;255000;5461;Benzyna
2010;179000;144500;6208;Benzyna
2010;88500;110000;2987;Diesel
2010;189000;89500;6208;Benzyna
2010;79000;299000;2987;Diesel
2010;87500;167090;5461;Benzyna
2010;70500;348000;2987;Diesel
2010;73900;287000;2987;Diesel
2010;83500;264000;2987;Diesel
2010;63000;217000;3498;Benzyna
2010;129000;163000;6208;Benzyna
2010;68000;250000;2987;Diesel
2011;99999;285000;2987;Diesel
2011;83000;246372;2987;Diesel
2011;159900;159900;5461;Benzyna
2011;73900;224000;5461;Benzyna
2011;89000;220000;3498;Hybryda
2011;195570;31791;5461;Benzyna
2011;129888;48809;3498;Hybryda
2011;115000;182700;5461;Benzyna
2011;195000;86000;5461;Benzyna
2011;75900;137359;2987;Diesel
2011;149000;184000;5461;Benzyna
2011;199000;32000;5461;Benzyna
2011;163000;53200;4663;Benzyna
2011;112900;64152;3498;Benzyna
2011;79000;126000;5461;Benzyna
2011;86850;207133;2987;Diesel
2011;135000;60000;5461;Benzyna
2011;72000;234089;2987;Diesel
2011;74900;302500;4663;Benzyna
2011;105780;58000;3498;Hybryda
2011;75891;334966;2987;Diesel
2011;84870;284000;5461;Benzyna+LPG
2011;87900;191000;2987;Diesel
2011;119000;300000;5513;Benzyna
2011;119900;163000;4663;Benzyna
2011;78000;150317;4663;Benzyna
2011;89900;182000;2987;Diesel
2011;129027;259300;4663;Benzyna
2011;89000;274000;5461;Benzyna
2012;114390;262000;4663;Benzyna
2012;112800;143000;4663;Benzyna
2012;74900;538800;2987;Diesel
2012;249900;48557;5461;Benzyna
2012;89999;210000;2987;Diesel
