production_date;price;mileage;engine_capacity;fuel_type
1979;28900;97000;1595;Benzyna
1979;2350;156000;1595;Benzyna
1980;26900;176000;1800;Benzyna
1982;46900;130000;1085;Benzyna
1982;40000;105358;1588;Diesel
1983;34000;200000;1600;Benzyna
1985;39000;115000;1760;Benzyna
1985;14700;111000;1595;Benzyna
1986;4200;140780;1272;Benzyna
1986;15000;157592;1595;Benzyna
1987;41500;114400;1760;Benzyna
1988;12900;82000;1595;Benzyna
1989;59900;161255;1781;Benzyna
1989;3300;124000;1595;Benzyna
1989;14950;108849;1272;Benzyna
1989;11400;240000;1781;Benzyna
1989;4000;210000;1272;Benzyna
1990;69900;176000;1781;Benzyna
1990;6900;219369;1272;Benzyna
1990;14500;137000;1272;Benzyna
1990;6999;236000;1272;Benzyna
1990;17700;177000;1588;Diesel
1990;9700;260000;1595;Benzyna
1990;15000;298220;1781;Benzyna
1990;22000;212000;1781;Benzyna
1991;24900;16000;1800;Benzyna
1991;4500;441888;1588;Diesel
1991;54000;103700;1781;Benzyna
1991;19900;77270;1272;Benzyna
1991;20900;234670;1588;Diesel
1991;2900;216000;1272;Benzyna
1991;7900;209000;1272;Benzyna
1991;5450;362000;1588;Diesel
1992;2900;252000;1272;Benzyna
1992;12000;223334;1595;Benzyna
1992;4000;400000;1588;Diesel
1992;12000;82000;1781;Benzyna
1993;3950;103872;1598;Benzyna
1993;11000;181000;1781;Benzyna+LPG
1994;3900;270000;1391;Benzyna
1994;5900;254000;1781;Benzyna
1994;7990;116000;1598;Benzyna
1994;5900;149000;1781;Benzyna
1994;2100;280000;1896;Diesel
1994;5900;220326;1391;Benzyna
1995;5000;164000;1781;Benzyna
1995;19000;42000;1598;Benzyna
1995;2900;226000;1896;Diesel
1995;1500;281985;1896;Diesel
1995;2200;281000;1896;Diesel
1995;9950;190000;1781;Benzyna
1996;3200;229300;1598;Benzyna
1996;8900;118500;1781;Benzyna
1996;3500;338000;1896;Diesel
1996;29800;111111;1984;Benzyna
1996;7400;177500;1984;Benzyna
1996;10900;300000;1896;Diesel
1997;6900;204000;1595;Benzyna
1997;11000;200000;1781;Benzyna+LPG
1997;3800;339215;1391;Benzyna
1997;6900;254000;1896;Diesel
1997;4500;246000;1390;Benzyna
1997;16900;86000;1391;Benzyna
1997;7900;250000;1781;Benzyna
1997;2600;400000;1896;Diesel
1997;7500;382447;1595;Benzyna+LPG
1997;8900;170300;1781;Benzyna
1998;2999;186000;1390;Benzyna
1998;6000;393000;1896;Diesel
1998;11500;133700;1390;Benzyna
1998;6900;167398;1390;Benzyna
1998;3700;217466;1390;Benzyna
1998;2900;350000;1390;Benzyna
1998;3600;286000;1595;Benzyna
1998;4200;320000;1595;Benzyna
1998;4999;342000;1896;Diesel
1998;10000;203333;1896;Diesel
1998;1750;200000;1896;Diesel
1998;4900;157633;1390;Benzyna
1998;19900;182800;2324;Benzyna
1998;4990;443000;1896;Diesel
1998;7900;176000;1595;Benzyna
1998;3999;190000;1390;Benzyna
1998;4500;230000;1390;Benzyna
1998;3799;179546;1390;Benzyna
1998;5800;195000;1595;Benzyna
1998;4600;400000;1896;Diesel
1998;4800;285000;1781;Benzyna
1998;2599;212438;1595;Benzyna
1998;13500;273159;1390;Benzyna
1998;4500;247878;1595;Benzyna
1998;7400;300598;1896;Diesel
1998;5999;229300;1595;Benzyna
1998;2999;224621;1390;Benzyna
1998;6700;300000;1896;Diesel
1998;4000;215000;1595;Benzyna
1998;6900;177000;1600;Benzyna
1998;4000;216500;1595;Benzyna
1998;6800;257080;1595;Benzyna+LPG
1999;4499;300000;1595;Benzyna+LPG
1999;5400;260500;1390;Benzyna
1999;6500;257062;1390;Benzyna
1999;4950;324605;1896;Diesel
1999;3750;214000;1390;Benzyna
1999;4999;195041;1390;Benzyna
1999;7900;162000;1984;Benzyna
1999;8999;127620;1595;Benzyna
1999;6900;252116;1595;Benzyna
1999;5500;209000;1390;Benzyna
1999;3300;217000;1390;Benzyna
1999;5700;158270;1400;Benzyna
1999;5000;267500;1896;Diesel
1999;5500;295000;1390;Benzyna+LPG
1999;6900;225000;1390;Benzyna
1999;7900;261211;1896;Diesel
1999;9999;172000;1595;Benzyna
1999;4900;327311;1390;Benzyna
1999;4900;346213;1390;Benzyna
1999;3800;245000;1595;Benzyna
1999;2100;413518;1896;Diesel
1999;5850;179982;1390;Benzyna
